ds,event,total,Predicted_total,capacity,corona,ramadan_season,world_cup,pre_hajj_season,eid_al_fitr,eid_al_adha,expo_2020,air_show,diwali,comicon_dubai,international_expo,formula_1_grand_prix,shopping_festival,dubai_marathon,midterm_break,hajj_season,economic_slowdown,global_financial_tension,oil_price_surge
2023-03-07,['spring_season'],166.0,153.8542175077765,166.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-15,['spring_season'],180.0,179.62244267273644,189.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-10,[],114.0,85.61604776084431,136.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-29,['christmas_season'],283.0,320.36474245926377,354.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-17,['summer_season'],469.0,471.1215002505135,489.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-19,['spring_season'],137.0,172.14727577996197,360.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-05,[],441.0,397.2248872094461,519.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-20,['summer_season'],171.0,168.86218513827703,174.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-12,['ramadan_season'],212.0,222.4179136477807,302.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-26,['ramadan_season'],420.0,368.913135908599,516.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-05,[],242.0,322.425909545594,469.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-10,['spring_season'],285.0,259.15656059678844,360.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-19,['summer_season'],351.0,320.1499960008967,360.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-31,[],142.0,144.45349385043954,174.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-23,['summer_season'],183.0,167.24753288590568,360.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-13,['spring_season'],309.0,328.28033776717706,428.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-30,[],299.0,303.6271517717479,360.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-22,['spring_season'],267.0,283.82036428586,354.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-31,[],150.0,151.29454844896313,174.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-03,[],341.0,314.11098803147826,354.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-01,[],170.0,159.73354225646864,174.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-01,[],320.0,340.2586124919519,354.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-04,[],436.0,408.3302615695393,517.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-10,"['hajj_season', 'eid_al_adha', 'summer_season']",299.0,312.4549374346231,519.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-04-04,"['ramadan_season', 'spring_season']",113.0,107.70453981505898,122.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-24,[],407.0,398.2291261967,428.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-10,[],161.0,167.35430518886434,174.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-04,['summer_season'],294.0,277.3192004715763,354.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-10,[],115.0,124.79567754125227,174.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-31,[],273.0,244.07059732794875,316.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-21,[],62.0,106.90208141362572,144.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-05,[],160.0,155.94734242373733,162.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-21,['summer_season'],462.0,463.4510412072596,516.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-15,[],45.0,43.475687081031424,68.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-20,['summer_season'],161.0,169.3502331456316,174.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-06,[],102.0,105.48299304419636,142.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-21,[],143.0,202.39259795839743,360.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-08,['summer_season'],326.0,321.34734337321856,354.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-19,['summer_season'],224.0,216.57529445535448,256.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-25,[],277.0,273.6316018052352,360.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-08,[],335.0,332.3538030486177,360.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-05,['spring_season'],142.0,140.23731714211422,174.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-21,['summer_season'],139.0,117.32312684825668,174.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-11,[],217.0,213.06767600806936,309.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-24,['summer_season'],67.0,101.8372961161094,156.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-08,['ramadan_season'],102.0,94.46627590659244,174.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-25,['spring_season'],151.0,146.34924202603366,166.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
